"ModId","Name","Version","FileVersion","Jar","AllModIds","SHA256","MetadataPath","MetadataSource","Confidence","Namespaces"
"dungeons_arise","When Dungeons Arise","2.1.68","2.1.68","DungeonsArise-1.21.1-2.1.68-release.jar","dungeons_arise","7EEE1ECA7E3B2C6C1BEDE055934F391AE2E8349FFE33E106F451176D2CFCF0E4","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","dungeons_arise;minecraft"
"dungeons_arise_seven_seas","When Dungeons Arise: Seven Seas","1.0.4","1.0.4","DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar","dungeons_arise_seven_seas","549040FBD81D1B33AEA38681109685E86D63985785246A831112C4BA5740D2DF","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","dungeons_arise_seven_seas"
"dynamic_fps","Dynamic FPS","3.11.4","3.11.4","dynamic-fps-3.11.4+minecraft-1.21.0-neoforge.jar","dynamic_fps","78CB67C9FAEFF5D1CB4DA48D41E48ECC47BADDAAEC0F792E6EDC8207AEE0AB8E","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","dynamic_fps"
"easy_piglins","Easy Piglins","1.21.1-1.0.14","1.0.14","easy-piglins-neoforge-1.21.1-1.0.14.jar","easy_piglins","64C300833A046BFECDB54E98206E807579CEFA12FA247F92DFBEB55E94D30C6D","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","easy_piglins;minecraft"
"easy_villagers","Easy Villagers","1.21.1-1.1.42","1.1.42","easy-villagers-neoforge-1.21.1-1.1.42.jar","easy_villagers","E093C86CE419FC1FAB1533BED5FA95B509B1F7240760C5AB628DE228B55C9D50","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","easy_villagers;minecraft"
"easyautocycler","Easy Auto Cycler","3.1.0","3.1.0","easyautocycler-neoforge-1.21.1-3.1.0.jar","easyautocycler","63FBDEC6B3640E936C8235ED5A565BFB7F493E8DCEBD5E230EA3C1099A0505B2","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","easyautocycler"
"easyelytratakeoff","Easy Elytra Takeoff","4.5","4.5","easyelytratakeoff-1.21.1-4.5.jar","easyelytratakeoff","0CB29579BAA1B148106C2523F678AA34278C523B6581F2DF0903E919918A996E","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"ec_ars_plugin","Ars Expanded Combat","1.0.5","1.0.5","ec_ars_plugin-1.21.1-1.0.5.jar","ec_ars_plugin","2DFBFBC1542F79851A2001C0E6B2D9FCEC11910E840DA9CC29A87502C81C7002","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ars_nouveau;curios;ec_ars_plugin;ec_es_plugin;expanded_combat;forge;minecraft"
"ec_isasb_plugin","EC Iron's Spells and Spellbooks Plugin","1.0.1","1.0.1","ec_isasb_plugin-1.21.1-1.0.1.jar","ec_isasb_plugin","F05F9948F32920A253F3B330B0C0A80EA7FCAC0D08CBEE73E0395C392F41788B","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","curios;ec_isasb_plugin;expanded_combat;minecraft"
"ec_lec_plugin","EC L_Ender's Cataclysm Plugin","2.0.4","2.0.4","ec_lec_plugin-1.21.1-2.0.4.jar","ec_lec_plugin","4547226863E74E2204B0F5045562B4A1ED04EEAA084DC98D1AE9F5446190A53A","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","curios;ec_lec_plugin;expanded_combat;forge;minecraft"
"ec_tf_plugin","EC Twilight Forest Plugin","1.1.4","1.1.4","ec_tf_plugin-1.21.1-1.1.4.jar","ec_tf_plugin","7BB16175B63AF7D505E2A64228FAEECDFD4B70F57D96AC08E80360C765B67FD1","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","curios;ec_tf_plugin;expanded_combat;forge;minecraft"
"enchdesc","EnchantmentDescriptions","21.1.10","21.1.10","enchdesc-neoforge-1.21.1-21.1.10.jar","enchdesc","9424C9AFF4EDF4D8730C931DF4253138AEAEE745EC839AF7078D292BB4EEAA16","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","enchdesc"
"enderstorage","EnderStorage","2.13.0.191","2.13.0.191","EnderStorage-1.21.1-2.13.0.191.jar","enderstorage","F52F23F9DF8925C7AEC26154C2F1816CC76422C67A4FA4E30FA8B80B7A854202","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","enderstorage;minecraft"
"endrem","End Remastered","6.3.0","6.3.0","endrem-neoforge-1.21.1-6.3.0.jar","endrem","666898B9CB494B9806BB05FDD03E948C0BB2E500EA8DA3922C2DD8A824D9DAFE","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","endrem;neoforge"
"entityculling","EntityCulling","1.10.5","1.10.5","entityculling-neoforge-1.10.5-mc1.21.1.jar","entityculling","2EACD2BADA39BF1D1EF695736646790C619C0E6CDEAF3D7E3CFC9139D26FAE02","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","entityculling"
"euphoria_patcher","Euphoria Patcher","1.9.3-r5.8.1-neoforge","1.9.3-r5.8.1","EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar","euphoria_patcher","9FF48C18CB5FD3425A6C15B16CE16656D6419FDB695E662D9A3CBE5604C40563","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"expanded_combat","Expanded Combat","3.3.12","3.3.12","expanded_combat-1.21.1-3.3.12.jar","expanded_combat","FCCCA6A2B2425744470CCC1C8C94C4CB3C5E07814DD9973456636D9E8168E5E0","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","c;curios;expanded_combat;forge;minecraft;neoforge"
"explore_ruins_aether","Explore Ruins Aether","1.0.0","1.0.0","explore_ruins_aether-1.0.0-neoforge-1.21.1.jar","explore_ruins_aether","4FC02D88511E580E9660D96ADEC4F317FAE4CB61B1702E7475DF3C26B1F9CB99","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","explore_ruins_aether"
"explorerscompass","Explorer's Compass","1.21.1-3.4.0-neoforge","3.4.0","ExplorersCompass-1.21.1-3.4.0-neoforge.jar","explorerscompass","71E7B47BD88C9C210D7C06FE5276736FC2E225E869778216537D584E6D1FAF24","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","explorerscompass;minecraft"
"extendedae","ExtendedAE","1.21-2.2.35-neoforge","2.2.35","ExtendedAE-1.21-2.2.35-neoforge.jar","extendedae","14A2860FA2C747E9DDA2279B8933FAC6311FECFEE166C765171022B902591C65","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2;c;curios;extendedae;minecraft"
"extendedcrafting","Extended Crafting","7.0.8","7.0.8","ExtendedCrafting-1.21.1-7.0.8.jar","extendedcrafting","8550F26E307115B27723510A902F3AAE5B9885EBE952924C9EF8B3C948E27103","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","c;extendedcrafting;minecraft"
"extraspecialcore","ExtraSpecialCore","1.3.0","1.3.0","extraspecialcore-1.3.0+1.21.1-neoforge.jar","extraspecialcore","8018663237064D7DBED7D31FB38F98758DD4A7145F1CCA93007FEF758BFC71AC","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","extraspecialcore"
"extremesoundmuffler","Extreme Sound Muffler","3.56","3.56","ExtremeSoundMuffler-3.56_NeoForge-1.21.jar","extremesoundmuffler","3C4152461540E3CCE8FE25C3E1A1FA8CE6982BBAD44DCA6D3B7E30A05AB2D531","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","extremesoundmuffler"
"fabric_api","Forgified Fabric API","0.116.15+2.3.2+1.21.1","0.116.15+2.3.2","forgified-fabric-api-0.116.15+2.3.2+1.21.1.jar","fabric_api;forgified_fabric_api","0BB57C1F5F05FE709B08584DEE95143B2F6C3CE1A193517886AC10BD5952733C","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","fabric"
"fancymenu","FancyMenu","3.9.9","3.9.9","fancymenu_neoforge_3.9.9_MC_1.21.1.jar","fancymenu","23236908B3EF362E4A3BD48CF2610247AC9D974BA44003C509D70063471DEC77","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","fancymenu;minecraft"
"farmers_cutting_twilight_forest","farmers cutting twilight forest","1.21.1-1.0","1.0","farmers-cutting-twilight-forest-1.21.1-1.0.jar","farmers_cutting_twilight_forest","8D2867ECAE0C6FB77F4DCF41537C3D987EB60098EAD774A07D48B558DE83FCD3","pack.mcmeta","Pack Metadata + Filename","MEDIUM","fctf"
"farmersdelight","Farmer's Delight","1.3.2","1.3.2","FarmersDelight-1.21.1-1.3.2.jar","farmersdelight","8FF438D62E1FCE61542945FAAE45975D823E04BD6E73A07A121EA05CE2F03DE7","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","c;create;createaddition;emi;farmersdelight;forge;minecraft;neoforge;origins;sable;sereneseasons;tconstruct"
"fastasyncworldsave","fastasyncworldsave mod","2.6","2.6","fastasyncworldsave-1.21-2.6.jar","fastasyncworldsave","099316EE212FF44BCD7AEA853F0153CD28432E0297676D21F61E8B000089714F","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"fastbench","Fast Workbench","9.1.3","9.1.3","FastWorkbench-1.21.1-9.1.3.jar","fastbench","ABF593BA1584C761F198989008D334C95932AFE0A7C6B16AF4BAA16B54FD1449","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","fastbench"
"fastboot","FastBoot","1.3.0",,"fastboot-1.21.x-v1.3neo.jar","fastboot","23F44F8B2C479A4242F070E118C6DFE8084942B12D125743E784E121D076AD8D","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
